Log,mixer_motor_temperature_M2,accHigh_flowrate,accLow_flowrate,mixer_motor_temperature_M1,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_outlet,cp_temperature_fresh,cp_pressure,mixer_torque_M2,mixer_speed_M2,mixer_torque_M1,mixer_speed_M1,Time
1,191.0,0,0,177.0,227.0,0,0.0,229.0,223.0,0.0,0.227,0,0.038,0,09:54:03.309
2,191.0,0,0,175.0,227.0,0,0.0,250.0,223.0,0.0,0.189,0,0.076,0,09:54:04.326
3,188.0,0,0,179.0,227.0,0,0.0,229.0,238.0,0.0,0.302,0,0.038,0,09:54:05.342
4,195.0,0,0,179.0,241.0,0,0.0,250.0,223.0,0.0,0.302,0,0.038,0,09:54:06.358
5,191.0,0,0,179.0,227.0,0,0.0,229.0,237.0,0.0,0.302,0,0.113,0,09:54:07.375
6,193.0,0,0,175.0,227.0,0,0.0,229.0,223.0,0.0,0.302,0,0.038,0,09:54:08.391
7,195.0,0,0,175.0,227.0,0,0.0,229.0,223.0,0.0,0.34,0,0.076,0,09:54:09.408
8,191.0,0,0,179.0,227.0,0,0.0,229.0,223.0,0.0,0.302,0,0.038,0,09:54:10.427
9,191.0,0,0,179.0,227.0,0,0.0,250.0,223.0,0.0,0.378,0,0.113,0,09:54:11.439
10,198.0,0,0,177.0,227.0,0,0.0,229.0,237.0,0.0,0.491,0,0.038,0,09:54:12.454
