Formule_Tarifaire_Acheminement,start,end,cg,cc,b,HPH,HCH,HPB,HCB,HP,HC,BASE
BTINFCU4,2023-08-01,2024-11-01,15.48,19.92,9,6.67,4.56,1.43,0.88,0,0,0
BTINFCUST,2023-08-01,2024-11-01,15.48,19.92,9.96,0,0,0,0,0,0,4.37
BTINFMU4,2023-08-01,2024-11-01,15.48,19.92,10.56,6.12,4.24,1.39,0.87,0,0,0
BTINFMUDT,2023-08-01,2024-11-01,15.48,19.92,12.24 ,0,0,0,0,4.47,3.16,0
BTINFLU,2023-08-01,2024-11-01,15.48,19.92,81.24,0,0,0,0,0,0,1.1
BTINFCU4,2024-11-01,2025-02-01,16.2,20.88,9.36,6.96,4.76,1.48,0.92,0,0,0
BTINFCUST,2024-11-01,2025-02-01,16.2,20.88,10.44,0,0,0,0,0,0,4.58 
BTINFMU4,2024-11-01,2025-02-01,16.2,20.88,11.04,6.39,4.43,1.46,0.91,0,0,0
BTINFMUDT,2024-11-01,2025-02-01,16.2,20.88,12.72,0,0,0,0,4.68,3.31,0
BTINFLU,2024-11-01,2025-02-01,16.2,20.88,84.96,0,0,0,0,0,0,1.15 
BTINFCU4,2025-02-01,,16.92,22.44,10.08,7.50,5.13,1.60,1,0,0,0
BTINFCUST,2025-02-01,,16.92,22.44,11.28,0,0,0,0,0,0,4.93
BTINFMU4,2025-02-01,,16.92,22.44,11.88,6.89,4.77,1.57,0.98,0,0,0
BTINFMUDT,2025-02-01,,16.92,22.44,13.80,0,0,0,0,5.04,3.57,0
BTINFLU,2025-02-01,,16.92,22.44,91.44,0,0,0,0,0,0,1.24
