Model Name,Tasks,Pretrained Weights Repository,Model Size (Parameters),Image size,Embedding vector shape,# of Bark beetle images used to tune model ,Paper,mAP@[.5:.95],mAP@0.5,Precision,Recall,F1-score (Macro),Epochs Fine-tuned
grounding_dino_detect_model,"Zero-shot Object Detection (Prompt: ""bark beetle""), Feature extraction",https://huggingface.co/IDEA-Research/grounding-dino-base,341M,640x640,"(1, 256)",0,https://arxiv.org/abs/2303.05499,0.673,0.958,0.977,0.961,0.969,N/A
yoloworldv2_bb_detect_model,"Zero-shot Object Detection (Prompt: ""bark beetle""), Feature extraction",https://github.com/ultralytics/assets/releases/download/v8.3.0/yolov8x-worldv2.pt,68.2M,640x640,"( , 640)",0,https://arxiv.org/pdf/2401.17270v2,0.0038,0.0043,0.0251,0.0144,0.0073,N/A
yolov8x_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov8_od,68.2M,640x640,"( , 640)",46 781,https://arxiv.org/abs/2408.15857,0.985,0.994,0.990,0.986,0.988,100
yolov9e_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov9_od,58.1M,640x640,"( , 512)",46 781,https://arxiv.org/abs/2402.13616,0.987,0.994,0.991,0.988,0.989,100
yolov10x_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov10_od,29.5M,640x640,"( , 640)",46 781,https://arxiv.org/abs/2405.14458,0.990,0.994,0.990,0.985,0.987,100
yolov11x_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov11_od,56.9M,640x640,"( , 768)",46 781,https://www.arxiv.org/abs/2410.17725,0.989,0.994,0.991,0.988,0.989,100
rtdetrx_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_rtdetr_od,76M,640x640,"( , 384)",46 781,https://arxiv.org/abs/2304.08069,0.885,0.910,0.976,0.818,0.890,100
yolov8x_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov8_oc,68.2M,640x640,"( , 640)",11 507,https://arxiv.org/abs/2408.15857,0.916,0.927,0.897,0.797,0.844,100
yolov9e_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov9_oc,58.1M,640x640,"( , 512)",11 507,https://arxiv.org/abs/2402.13616,0.918,0.927,0.902,0.836,0.868,100
yolov10x_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov10_oc,29.5M,640x640,"( , 640)",11 507,https://arxiv.org/abs/2405.14458,0.913,0.922,0.852,0.727,0.785,100
yolov11x_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov11_oc,56.9M,640x640,"( , 768)",11 507,https://www.arxiv.org/abs/2410.17725,0.917,0.925,0.714,0.818,0.762,100
yolov12x_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov12_oc,59.1M,640x640,"( , 768)",12 507,https://arxiv.org/pdf/2502.12524,0.919,0.928,1.000,0.808,0.894,100
rtdetrx_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_rtdetr_oc,76M,640x640,"( , 384)",11 507,https://arxiv.org/abs/2304.08069,0.885,0.910,0.976,0.818,0.890,100
dinov2_vitl14_lvd142m_features_model,Feature extraction,https://huggingface.co/timm/vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,304.5M,336 x 336,"(1, 1024)",0,https://arxiv.org/html/2304.07193v2,N/A,N/A,N/A,N/A,N/A,N/A
dinov3_vitl16_lvd1689m_features_model,Feature extraction,https://huggingface.co/IBBI-bio/dinov3-vitl16-pretrain-lvd1689m,300M,224 x 224,"( , 384)",0,https://arxiv.org/pdf/2508.10104,N/A,N/A,N/A,N/A,N/A,N/A
eva02_base_patch14_224_mim_in22k_features_model,Feature extraction,https://huggingface.co/timm/eva02_base_patch14_224.mim_in22k,85.8M,224 x 224,"(1, 768)",0,https://arxiv.org/pdf/2303.11331,N/A,N/A,N/A,N/A,N/A,N/A
convformer_b36_features_model,Feature extraction,https://huggingface.co/timm/caformer_b36.sail_in22k_ft_in1k_384,98.8M,384 x 384,"(1, 768)",0,https://arxiv.org/pdf/2210.13452,N/A,N/A,N/A,N/A,N/A,N/A
